id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
DOLCE-Lite.owl:region	DOLCE-Lite.owl:abstract															
DOLCE-Lite.owl:proposition	DOLCE-Lite.owl:abstract															
DOLCE-Lite.owl:set	DOLCE-Lite.owl:abstract															
DOLCE-Lite.owl:abstract	DOLCE-Lite.owl:particular															
DOLCE-Lite.owl:space-region	DOLCE-Lite.owl:physical-region															
DOLCE-Lite.owl:physical-region	DOLCE-Lite.owl:region															
DOLCE-Lite.owl:abstract-region	DOLCE-Lite.owl:region															
DOLCE-Lite.owl:temporal-region	DOLCE-Lite.owl:region															
DOLCE-Lite.owl:spatio-temporal-region	DOLCE-Lite.owl:space-region															
DOLCE-Lite.owl:time-interval	DOLCE-Lite.owl:temporal-region															
DOLCE-Lite.owl:particular																
