id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
DOLCE-Lite.owl:region	DOLCE-Lite.owl:abstract															
DOLCE-Lite.owl:proposition	DOLCE-Lite.owl:abstract															
DOLCE-Lite.owl:set	DOLCE-Lite.owl:abstract															
DOLCE-Lite.owl:non-physical-endurant	DOLCE-Lite.owl:endurant															
DOLCE-Lite.owl:physical-endurant	DOLCE-Lite.owl:endurant															
DOLCE-Lite.owl:arbitrary-sum	DOLCE-Lite.owl:endurant															
DOLCE-Lite.owl:achievement	DOLCE-Lite.owl:event															
DOLCE-Lite.owl:accomplishment	DOLCE-Lite.owl:event															
DOLCE-Lite.owl:relevant-part	DOLCE-Lite.owl:feature															
DOLCE-Lite.owl:dependent-place	DOLCE-Lite.owl:feature															
DOLCE-Lite.owl:non-physical-object	DOLCE-Lite.owl:non-physical-endurant															
DOLCE-Lite.owl:abstract	DOLCE-Lite.owl:particular															
DOLCE-Lite.owl:spatio-temporal-particular	DOLCE-Lite.owl:particular															
DOLCE-Lite.owl:stative	DOLCE-Lite.owl:perdurant															
DOLCE-Lite.owl:event	DOLCE-Lite.owl:perdurant															
DOLCE-Lite.owl:feature	DOLCE-Lite.owl:physical-endurant															
DOLCE-Lite.owl:physical-object	DOLCE-Lite.owl:physical-endurant															
DOLCE-Lite.owl:amount-of-matter	DOLCE-Lite.owl:physical-endurant															
DOLCE-Lite.owl:spatial-location_q	DOLCE-Lite.owl:physical-quality															
DOLCE-Lite.owl:space-region	DOLCE-Lite.owl:physical-region															
DOLCE-Lite.owl:temporal-quality	DOLCE-Lite.owl:quality															
DOLCE-Lite.owl:physical-quality	DOLCE-Lite.owl:quality															
DOLCE-Lite.owl:abstract-quality	DOLCE-Lite.owl:quality															
DOLCE-Lite.owl:quality-space	DOLCE-Lite.owl:region															
DOLCE-Lite.owl:abstract-region	DOLCE-Lite.owl:region															
DOLCE-Lite.owl:physical-region	DOLCE-Lite.owl:region															
DOLCE-Lite.owl:quale	DOLCE-Lite.owl:region															
DOLCE-Lite.owl:temporal-region	DOLCE-Lite.owl:region															
DOLCE-Lite.owl:spatio-temporal-region	DOLCE-Lite.owl:space-region															
DOLCE-Lite.owl:quality	DOLCE-Lite.owl:spatio-temporal-particular															
DOLCE-Lite.owl:endurant	DOLCE-Lite.owl:spatio-temporal-particular															
DOLCE-Lite.owl:perdurant	DOLCE-Lite.owl:spatio-temporal-particular															
DOLCE-Lite.owl:state	DOLCE-Lite.owl:stative															
DOLCE-Lite.owl:process	DOLCE-Lite.owl:stative															
DOLCE-Lite.owl:temporal-location_q	DOLCE-Lite.owl:temporal-quality															
DOLCE-Lite.owl:time-interval	DOLCE-Lite.owl:temporal-region															
DOLCE-Lite.owl:particular																
