id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
OBI:0001614	data:1093		GENEPIO	IAO:0000577	GenBank ID	A CRID symbol uniquely indentifies the submitted GeneBank sequence record.										
GENEPIO:0002074	data:1093		GENEPIO		RefSeq accession identifier	A RefSeq accession identifier is an accession identifier for selected NCBI-curated genomic, transcript and protein sequences.  These identifiers are distinct from DDBJ/EMBL/GenBank identifiers.										
APOLLO_SV:00000002	APOLLO_SV:00000043		GENEPIO		basic reproduction number	The average number of transmissions of an infectious agent from an infectious organism to a susceptible organism within a completely susceptible population.										
GENEPIO:0001925	APOLLO_SV:00000173		GENEPIO		earth area boundary census											
APOLLO_SV:00000153	APOLLO_SV:00000173		GENEPIO		population census	The outcome of a population survey.										
APOLLO_SV:00000235	APOLLO_SV:00000516		GENEPIO		immune population	A population of organisms that are all immune.										
APOLLO_SV:00000233	APOLLO_SV:00000516		GENEPIO		infected population	A population of only infected members of one species.										
APOLLO_SV:00000234	APOLLO_SV:00000516		GENEPIO		susceptible population	A population of organisms that are all susceptible.										
ARO:3004440	ARO:3004299		GENEPIO		CLSI antimicrobial phenotype	Qualitative description of a microbe’s response to antimicrobial agents as described by CLSI using breakpoints that take into consideration tissue specificity of infection.										
ARO:3004431	ARO:3004299		GENEPIO		EUCAST antimicrobial phenotype	Qualitative description of a microbe’s response to antimicrobial agents as described by EUCAST using breakpoints determined through in-vitro testing.  These breakpoints are determined irrespective of tissue specificity of infection.										
ARO:3004305	ARO:3004299		GENEPIO		multidrug resistance antimicrobial phenotype	Multidrug-resistant organisms are defined as bacterial strains that have become resistant to multiple classes of antibacterial drugs or other agents. The phenotype of these organisms is defined by the spectrum of antibiotic drug classes to which that organism is resistant. Often, these organisms are susceptible to a narrow range of available drugs, making treatment difficult and urgent.										
GENEPIO:0002040	ARO:3004299		GENEPIO		antibiotic resistance not defined	A not defined resistance indicates that an isolate was not tested against a given antibiotic, or the result of the test was inconclusive.										
