id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
OBI:0001614	data:1093			IAO:0000577	GenBank ID	A CRID symbol uniquely indentifies the submitted GeneBank sequence record.										
GENEPIO:0002074	data:1093				RefSeq accession identifier	A RefSeq accession identifier is an accession identifier for selected NCBI-curated genomic, transcript and protein sequences.  These identifiers are distinct from DDBJ/EMBL/GenBank identifiers.										
APOLLO_SV:00000002	APOLLO_SV:00000043				basic reproduction number	The average number of transmissions of an infectious agent from an infectious organism to a susceptible organism within a completely susceptible population.										
GENEPIO:0001925	APOLLO_SV:00000173				earth area boundary census											
APOLLO_SV:00000153	APOLLO_SV:00000173				population census	The outcome of a population survey.										
APOLLO_SV:00000235	APOLLO_SV:00000516				immune population	A population of organisms that are all immune.										
APOLLO_SV:00000233	APOLLO_SV:00000516				infected population	A population of only infected members of one species.										
APOLLO_SV:00000234	APOLLO_SV:00000516				susceptible population	A population of organisms that are all susceptible.										
ARO:3004440	ARO:3004299				CLSI antimicrobial phenotype	Qualitative description of a microbe’s response to antimicrobial agents as described by CLSI using breakpoints that take into consideration tissue specificity of infection.										
ARO:3004431	ARO:3004299				EUCAST antimicrobial phenotype	Qualitative description of a microbe’s response to antimicrobial agents as described by EUCAST using breakpoints determined through in-vitro testing.  These breakpoints are determined irrespective of tissue specificity of infection.										
ARO:3004305	ARO:3004299				multidrug resistance antimicrobial phenotype	Multidrug-resistant organisms are defined as bacterial strains that have become resistant to multiple classes of antibacterial drugs or other agents. The phenotype of these organisms is defined by the spectrum of antibiotic drug classes to which that organism is resistant. Often, these organisms are susceptible to a narrow range of available drugs, making treatment difficult and urgent.										
ARO:3004365	ARO:3004360				British Society for Antimicrobial Chemotherapy (BSAC)	BSAC is a British inter-professional organisation involved in antibiotic education, research and leadership. Baquero F. found that the BSAC system recommends lower breakpoints than the consensus standard of all systems for antimicrobial susceptibility testing used in Europe (BSAC, DIN, SFM, SIR, NCCLS and WRG).										
ARO:3004366	ARO:3004360				Clinical and Laboratory Standards Institute (CLSI)	The Clinical and Laboratory Standards Institute develops and implements clinical laboratory testing standards.										
ARO:3004367	ARO:3004360				Deutsches Institut für Normung (DIN)	DIN is recognized by the Federal Government of Germany as the competent standards organization for Germany and as the national standards body representing Germany in non-governmental international standards organizations. Baquero F. found that the DIN system recommends lower breakpoints than the consensus standard of all systems for antimicrobial susceptibility testing used in Europe (BSAC, DIN, SFM, SIR, NCCLS and WRG).										
ARO:3004368	ARO:3004360				European Committee on Antimicrobial Susceptibility Testing (EUCAST)	EUCAST is a standing committee jointly organized by ESCMID, ECDC and European national breakpoint committees; it deals with breakpoints and technical aspects of phenotypic in-vitro antimicrobial susceptibility testing.										
ARO:3004369	ARO:3004360				Société Française de Microbiologie (SFM)	The French Society of Microbiology (SFM) is a non-profit association which aims to bring together microbiologists from French-speaking countries, working in the domains of bacteria, viruses, Fungi and parasites, and related medical, industrial and environmental microbiology, physiology, genetics, taxonomy, hygiene, and antimicrobial agents. Baquero F. found that the SFM system recommends higher breakpoints than the consensus standard of all systems for antimicrobial susceptibility testing used in Europe (BSAC, DIN, SFM, SIR, NCCLS and WRG).										
ARO:3004394	ARO:3004388				ATP bioluminescence assay	Relies on the indirect measurement of microbe populations by quantifying microbial ATP production.										
ARO:3004395	ARO:3004388				flow cytofluorometric method	Microbes exposed to antimicrobial agents are then stained with the intercalating agent propidium iodide. Damaged cells emit a positive signal that is detected by flow cytometry analysis. Flow cytometry can also be used to discriminate between dead, damaged and live cells.										
ARO:3004396	ARO:3004388				mechanism-specific test	Test that directly detect the presence of a particular resistance mechanism.										
ARO:3004392	ARO:3004388				thin-layer chromatography (TLC)-bioautography	Components of complex mixtures such as plant extracts are separated across a TLC plate and tested for anti-microbial activity.										
ARO:3004393	ARO:3004388				time-kill test	Allows for time-dependent or concentration-dependent analysis of antimicrobial effects. Several tubes of broth culture medium containing a suspension of the test microbe are treated with varying concentrations of the antimicrobial agent and the percentage of dead cells determined at various time points.										
ARO:3004398	ARO:3004390				automated testing platform	Automated system of analysis for determining antimicrobial susceptibility.										
ARO:3004399	ARO:3004390				manual testing platform	Non-automated system of analysis for determining antimicrobial susceptibility.										
ARO:3004412	ARO:3004391				agar plug diffusion method	This method is commonly used to study the antagonism between microorganisms. The first bacterial strain is inoculated onto agar plates in tight streaks. The bacteria will secrete molecules that diffuse in the agar medium; this medium is cut and placed on another agar plate inoculated with another microorganism.										
ARO:3004411	ARO:3004391				agar well diffusion method	This test is a common method of evaluating the antimicrobial activity of plants or microbial extracts. In this method, bacteria are inoculated onto agar plates and the antimicrobial agent is injected into the plate and allowed to diffuse.										
ARO:3004413	ARO:3004391				cross streak method	This method is commonly used to study the antagonism between microorganisms. The microbial strain of interest is seeded by a single streak in the center of the agar plate. After incubation, the plate is seeded with the second microorganism by single streak perpendicular to the central streak.										
ARO:3004414	ARO:3004392				agar diffusion bioautography	The antimicrobial agent is transferred from a chromatogram to an agar plate previously inoculated with the test microorganism.										
ARO:3004416	ARO:3004392				agar overlay bioautography	The TLC plate is covered with a molten agar medium seeded with the test microbe and the antimicrobial compounds are allowed to diffuse onto the agar medium. Tetrazolium dye staining allows for visualization.										
ARO:3004415	ARO:3004392				direct bioautography	A developed TLC plate is dipped into or sprayed with a microbial suspension and then incubated. Live microbial cells are visualized using tetrazolium salts.										
ARO:3004420	ARO:3004396				chloramphenicol acetyltransferase assay (CAT)	Commercial colorimetric assay for detection of chloramphenicol modifying enzyme chloramphenicol acetyltransferase.										
ARO:3004419	ARO:3004396				chromogenic cephalosporinase test	Assay for beta lactamase detection										
NCIT:C85697	ARO:3004397				Macro Broth Dilution Method	A method to determine the minimum inhibitory concentration (MIC) of antibiotics in which growth media is pipetted into a test tube. Each tube contains a known concentration of drug and is inoculated with a known quantity of bacteria. The tubes are incubated for a specified period of time and each is assessed for bacterial cell growth. The drug concentration in the first tube showing no growth is known as the MIC for that antibiotic.										
NCIT:C85701	ARO:3004397				Micro Broth Dilution Method	A method to determine the minimum inhibitory concentration (MIC) of antibiotics in which growth media is pipetted into a multi-well plate. Each well contains a known concentration of drug which is inoculated with a known quantity of bacteria. The plate is incubated for a specified period of time and each well is assessed for bacterial cell growth. The drug concentration in the first well showing no growth is known as the MIC for that antibiotic.										
ARO:3004410	ARO:3004397				micro broth dilution method	Broth dilution conducted on 96-well microtiter plates (≤200 µL per well).										
ARO:3004400	ARO:3004398				MicroScan	Specific automated system of analysis for determining antimicrobial susceptibility developed by Omron.										
ARO:3004401	ARO:3004398				Phoenix	Specific automated system of analysis for determining antimicrobial susceptibility developed by Becton Dickinson.										
ARO:3004402	ARO:3004398				Sensitire	Specific automated system of analysis for determining antimicrobial susceptibility developed by Trek, Thermo Fisher Scientific.										
ARO:3004403	ARO:3004398				Vitek System	Specific automated system of analysis for determining antimicrobial susceptibility developed by bioMérieux.										
ARO:3004405	ARO:3004404				Becton Dickinson	Specific vendor of automated system of analysis for determining antimicrobial susceptibility headquartered in New Jersey, USA. Becton Dickinson is the developer of the Phoenix automated testing platform.										
ARO:3004408	ARO:3004404				Omron	Specific vendor of automated system of analysis for determining antimicrobial susceptibility based in Japan. Omron is the developer of the MicroScan automated testing platform.										
ARO:3004407	ARO:3004404				Siemens	Specific vendor of automated system of analysis for determining antimicrobial susceptibility headquartered in Berlin and Munich.										
ARO:3004409	ARO:3004404				Trek	Specific vendor of automated system of analysis for determining antimicrobial susceptibility that was acquired by Thermo Fisher Scientific Inc. Thermo Fisher Scienfiic Inc. is headquartered in Massachusetts, USA.  Trek is the developer of the Sensitire automated testing platform.										
ARO:3004406	ARO:3004404				bioMérieux	Specific vendor of automated system of analysis for determining antimicrobial susceptibility headquartered in France. bioMérieux is the developer of the Vitek automated testing platform.										
HP:0031292	ARO:3004430			HP:0011123	Cutaneous abscess	A circumscribed area of pus or necrotic debris in the skin.										
NCIT:C12471	ARO:3004430				Soft Tissue	A general term comprising tissue that is not hardened or calcified; including muscle, fat, blood vessels, nerves, tendons, ligaments and fascia.										
MPATH:608	ARO:3004430			MPATH:607	abscess	A circumscribed collection of purulent exudate frequently associated with swelling and other signs of inflammation.										
DOID:13148	ARO:3004430			DOID:1679	acute cystitis	A cystitis characterized by a sudden onset or severe symptoms.										
