id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
gfo.owl:Concept	gfo.owl:Category				Concept											
gfo.owl:Symbol_structure	gfo.owl:Category				Symbol structure											
gfo.owl:Universal	gfo.owl:Category				Universal											
gfo.owl:Category																
gfo.owl:Continuous_change	gfo.owl:Change				Continuous change											
gfo.owl:Discrete_change	gfo.owl:Change				Discrete change											
gfo.owl:Perpetuant	gfo.owl:Concrete				Perpetuant											
gfo.owl:Presential	gfo.owl:Concrete				Presential											
gfo.owl:Processual_Structure	gfo.owl:Concrete				Processual Structure											
gfo.owl:Abstract	gfo.owl:Individual				Abstract											
gfo.owl:Concrete	gfo.owl:Individual				Concrete											
gfo.owl:Property	gfo.owl:Individual				Property											
gfo.owl:Relator	gfo.owl:Individual				Relator											
gfo.owl:Role	gfo.owl:Individual				Role											
gfo.owl:Space_time	gfo.owl:Individual				Space time entity											
gfo.owl:Change	gfo.owl:Occurrent				Change											
gfo.owl:Event	gfo.owl:Occurrent				Event											
gfo.owl:History	gfo.owl:Occurrent				History											
N0cca3c6d4ae04625b73b8be0c9a45b8f	gfo.owl:Presential															
gfo.owl:Amount_of_substrate	gfo.owl:Presential				Amount of substrate											
gfo.owl:Material_boundary	gfo.owl:Presential				Material boundary											
gfo.owl:Material_object	gfo.owl:Presential				Material object											
gfo.owl:Continuous_process	gfo.owl:Process				Continuous process											
gfo.owl:Discrete_process	gfo.owl:Process				Discrete process											
gfo.owl:Processual_role	gfo.owl:Process			gfo.owl:Role	Processual role											
gfo.owl:State	gfo.owl:Process				State											
gfo.owl:Occurrent	gfo.owl:Processual_Structure				Occurrent											
gfo.owl:Process	gfo.owl:Processual_Structure				Process											
gfo.owl:Relational_role	gfo.owl:Property			gfo.owl:Role	Relational role											
gfo.owl:Social_role	gfo.owl:Role				Social role											
gfo.owl:Spatial_boundary	gfo.owl:Space				Spatial boundary											
gfo.owl:Spatial_region	gfo.owl:Space				Spatial region											
gfo.owl:Space	gfo.owl:Space_time				Space entity											
gfo.owl:Time	gfo.owl:Space_time				Time entity											
gfo.owl:Line	gfo.owl:Spatial_boundary				Line											
gfo.owl:Point	gfo.owl:Spatial_boundary				Point											
gfo.owl:Surface	gfo.owl:Spatial_boundary				Surface											
gfo.owl:Topoid	gfo.owl:Spatial_region				Topoid											
gfo.owl:Chronoid	gfo.owl:Temporal_region				Chronoid											
gfo.owl:Temporal_region	gfo.owl:Time				Temporal region											
gfo.owl:Time_boundary	gfo.owl:Time				Time boundary											
gfo.owl:Left_time_boundary	gfo.owl:Time_boundary				Left time boundary											
gfo.owl:Right_time_boundary	gfo.owl:Time_boundary				Right time boundary											
gfo.owl:Individual																
