id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
gfo.owl:Concept	gfo.owl:Category															
gfo.owl:Symbol_structure	gfo.owl:Category															
gfo.owl:Ontological_layer	gfo.owl:Category															
gfo.owl:Universal	gfo.owl:Category															
gfo.owl:Instantanuous_change	gfo.owl:Change															
gfo.owl:Extrinsic_change	gfo.owl:Change															
gfo.owl:Intrinsic_change	gfo.owl:Change															
gfo.owl:Continuous_change	gfo.owl:Change															
gfo.owl:Function	gfo.owl:Concept															
gfo.owl:Role	gfo.owl:Concrete															
gfo.owl:Property_value	gfo.owl:Concrete			gfo.owl:Dependent												
gfo.owl:Token	gfo.owl:Concrete															
gfo.owl:Presential	gfo.owl:Concrete			gfo.owl:Individual												
gfo.owl:Property	gfo.owl:Concrete			gfo.owl:Dependent												
gfo.owl:Occurrent	gfo.owl:Concrete															
gfo.owl:Situation	gfo.owl:Configuration															
gfo.owl:Situoid	gfo.owl:Configuroid															
gfo.owl:Mass_entity	gfo.owl:Continuous			gfo.owl:Presential												
gfo.owl:Amount_of_substrate	gfo.owl:Continuous			gfo.owl:Presential												
gfo.owl:Continuous_process	gfo.owl:Continuous			gfo.owl:Process												
gfo.owl:Relational_role	gfo.owl:Dependent			gfo.owl:Role												
gfo.owl:Material_boundary	gfo.owl:Dependent			gfo.owl:Presential												
gfo.owl:Discrete_presential	gfo.owl:Discrete			gfo.owl:Presential												
gfo.owl:Discrete_process	gfo.owl:Discrete			gfo.owl:Process												
gfo.owl:Material_object	gfo.owl:Discrete_presential															
gfo.owl:Material_structure	gfo.owl:Discrete_presential															
gfo.owl:Set	gfo.owl:Entity															
gfo.owl:Item	gfo.owl:Entity															
gfo.owl:Social_role	gfo.owl:Independent			gfo.owl:Role												
gfo.owl:Dependent	gfo.owl:Individual															
gfo.owl:Abstract	gfo.owl:Individual															
gfo.owl:Independent	gfo.owl:Individual															
gfo.owl:Concrete	gfo.owl:Individual															
gfo.owl:Space_time	gfo.owl:Individual															
gfo.owl:Relator	gfo.owl:Individual															
gfo.owl:Discrete	gfo.owl:Individual															
gfo.owl:Continuous	gfo.owl:Individual															
gfo.owl:Category	gfo.owl:Item															
gfo.owl:Individual	gfo.owl:Item															
gfo.owl:Biological_level	gfo.owl:Level															
gfo.owl:Awareness_level	gfo.owl:Level															
gfo.owl:Physical_level	gfo.owl:Level															
gfo.owl:Personality_level	gfo.owl:Level															
gfo.owl:Chemical_level	gfo.owl:Level															
gfo.owl:Material_line	gfo.owl:Material_boundary															
gfo.owl:Material_surface	gfo.owl:Material_boundary															
gfo.owl:Material_point	gfo.owl:Material_boundary															
gfo.owl:Action	gfo.owl:Occurrent															
gfo.owl:History	gfo.owl:Occurrent															
gfo.owl:Change	gfo.owl:Occurrent															
gfo.owl:Process	gfo.owl:Occurrent															
gfo.owl:Stratum	gfo.owl:Ontological_layer															
gfo.owl:Level	gfo.owl:Ontological_layer															
gfo.owl:Material_persistant	gfo.owl:Persistant															
gfo.owl:Configuration	gfo.owl:Presential															
gfo.owl:Configuroid	gfo.owl:Process															
gfo.owl:State	gfo.owl:Process															
gfo.owl:Processual_role	gfo.owl:Process			gfo.owl:Role												
gfo.owl:Spatial_boundary	gfo.owl:Space															
gfo.owl:Spatial_region	gfo.owl:Space															
gfo.owl:Space	gfo.owl:Space_time															
gfo.owl:Time	gfo.owl:Space_time															
gfo.owl:Surface	gfo.owl:Spatial_boundary															
gfo.owl:Line	gfo.owl:Spatial_boundary															
gfo.owl:Point	gfo.owl:Spatial_boundary															
gfo.owl:Topoid	gfo.owl:Spatial_region															
gfo.owl:Social_stratum	gfo.owl:Stratum															
gfo.owl:Mental_stratum	gfo.owl:Stratum															
gfo.owl:Material_stratum	gfo.owl:Stratum															
gfo.owl:Symbol	gfo.owl:Symbol_structure															
gfo.owl:Symbol_sequence	gfo.owl:Symbol_structure															
gfo.owl:Chronoid	gfo.owl:Temporal_region															
gfo.owl:Time_boundary	gfo.owl:Time															
gfo.owl:Temporal_region	gfo.owl:Time															
gfo.owl:Value_space	gfo.owl:Universal															
gfo.owl:Persistant	gfo.owl:Universal															
gfo.owl:Entity																
