id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
MA:0003000	MA:0000001		adult_mouse_anatomy.gxd		anatomical structure											
MA:0000010	MA:0000003		adult_mouse_anatomy.gxd		cardiovascular system											
MA:0000012	MA:0000003		adult_mouse_anatomy.gxd		endocrine system											
MA:0002411	MA:0000003		adult_mouse_anatomy.gxd		exocrine system											
MA:0000013	MA:0000003		adult_mouse_anatomy.gxd		hemolymphoid system											
MA:0002711	MA:0000003		adult_mouse_anatomy.gxd		immune system											
MA:0000014	MA:0000003		adult_mouse_anatomy.gxd		integumental system											
MA:0002418	MA:0000003		adult_mouse_anatomy.gxd		musculoskeletal system											
MA:0000016	MA:0000003		adult_mouse_anatomy.gxd		nervous system											
MA:0002442	MA:0000003		adult_mouse_anatomy.gxd		sensory organ system											
MA:0002887	MA:0000003		adult_mouse_anatomy.gxd		set of connective tissues											
MA:0000019	MA:0000003		adult_mouse_anatomy.gxd		visceral organ system											
MA:0002447	MA:0000005		adult_mouse_anatomy.gxd		body cavity											
MA:0002448	MA:0000005		adult_mouse_anatomy.gxd		cavity lining											
MA:0001904	MA:0000005		adult_mouse_anatomy.gxd		diaphragm											
MA:0000565	MA:0000005		adult_mouse_anatomy.gxd		mesothelium											
MA:0000025	MA:0000007		adult_mouse_anatomy.gxd		forelimb											
MA:0000026	MA:0000007		adult_mouse_anatomy.gxd		hindlimb											
MA:0000057	MA:0000009		adult_mouse_anatomy.gxd		brown adipose tissue											
MA:0002481	MA:0000009		adult_mouse_anatomy.gxd		fat pad											
MA:0002911	MA:0000009		adult_mouse_anatomy.gxd		mammary gland fat											
MA:0003077	MA:0000009		adult_mouse_anatomy.gxd		mesenteric adipose tissue											
MA:0002974	MA:0000009		adult_mouse_anatomy.gxd		pararenal fat											
MA:0002975	MA:0000009		adult_mouse_anatomy.gxd		perirenal fat											
MA:0000473	MA:0000009		adult_mouse_anatomy.gxd		subcutaneous adipose tissue											
MA:0000058	MA:0000009		adult_mouse_anatomy.gxd		white adipose tissue											
MA:0000009	MA:0000011		adult_mouse_anatomy.gxd		adipose tissue											
MA:0000104	MA:0000011		adult_mouse_anatomy.gxd		cartilage tissue											
MA:0002853	MA:0000011		adult_mouse_anatomy.gxd		elastic tissue											
MA:0000570	MA:0000011		adult_mouse_anatomy.gxd		head or neck connective tissue											
MA:0000110	MA:0000011		adult_mouse_anatomy.gxd		intervertebral disc											
MA:0000113	MA:0000011		adult_mouse_anatomy.gxd		ligament											
MA:0000689	MA:0000011		adult_mouse_anatomy.gxd		limb connective tissue											
MA:0003008	MA:0000011		adult_mouse_anatomy.gxd		perichondrium											
MA:0000114	MA:0000011		adult_mouse_anatomy.gxd		synovium											
MA:0000697	MA:0000011		adult_mouse_anatomy.gxd		tail connective tissue											
MA:0000115	MA:0000011		adult_mouse_anatomy.gxd		tendon											
MA:0000513	MA:0000011		adult_mouse_anatomy.gxd		trunk connective tissue											
MA:0002431	MA:0000019		adult_mouse_anatomy.gxd		digestive system											
MA:0000326	MA:0000019		adult_mouse_anatomy.gxd		reproductive system											
MA:0000327	MA:0000019		adult_mouse_anatomy.gxd		respiratory system											
MA:0000325	MA:0000019		adult_mouse_anatomy.gxd		urinary system											
MA:0003062	MA:0000057		adult_mouse_anatomy.gxd		interscapular brown adipose tissue											
MA:0002738	MA:0000099		adult_mouse_anatomy.gxd		fibrous pericardium											
